TIME_PERIOD,Crop_Production(1000 ha),Meat_Production(1000 tonnes),Milk_Production(1000 tonnes),Crop_Economy(Million euro),Milk_Economy(Million euro),Animal_Economy(Million euro),Agriculture_Subsidies(Million euro),Agriculture_Economy(Million euro),Total_Production,Subsidies_to_Economy_Ratio,Production_to_Economy_Ratio,Impact_of_Economy,Economic_Impact_Category
1982,-1.0265088387917414,0.3948866311861958,-1.6679318611929401,-1.4328518780574275,-1.38483056311261,-1.7277693565622538,0.05286634326466649,-2.078043837928898,-1.2358717943310655,0.9003517606207881,-1.119119439238954,1.345445087759685,High
1983,-1.0255979637342112,0.6144174375627796,-1.5876181184273195,-0.0524190976916144,-1.211110674258497,-1.4547354252451303,0.49691641773720757,-0.9324786795226333,-1.2129763482354838,0.9029942179563426,-1.2000050569605036,1.425948016969801,High
1984,-1.0340856631339232,0.8104437638427935,-1.5511642545976407,-1.2279556560761635,-1.1481274052026382,-1.4316160082400822,0.07191260871385606,-1.7976412207550527,-1.208086442671528,0.7983684160278044,-1.1138907138103438,1.392386746504418,High
1985,-1.0748266202525414,0.9030088686822698,-1.366494053359114,-1.136322512631232,-1.035734095816849,-1.4891925155353674,0.06157320747001025,-1.733459858633348,-1.2021504975198893,0.7586161956344628,-1.113205017159173,1.4147990545166236,High
1986,-1.0703826540627737,0.75850560804441,-1.3576814038047516,-0.8295363328123574,-1.1175513096572944,-1.7745910330178558,0.11000513961223521,-1.5612858154207176,-1.1997600634105798,0.7394111966534931,-1.1269702371835388,1.1085475409602712,High
1987,-1.092133246345613,0.7718922655828542,-1.2940156599088135,0.04836055548675033,-1.0835746407480642,-1.532211838894101,0.41746628186344364,-0.7405312633588427,-1.2048308990750398,0.7354824768111766,-1.2079726832964115,0.6516903357515208,High
1988,-1.1104749577313322,0.7310058851941161,-1.3327687214106887,-0.691102347568659,-1.2521791371915512,-1.464768641628473,0.08061947291919982,-1.2514474683144357,-1.2299190742032213,0.5754551240092979,-1.190326300477508,0.2954544660485156,Medium
1989,-1.1037952073094448,0.673930988712376,-1.3919716491861476,-0.22821333430711646,-1.3889577547166396,-1.604040231702103,0.17204154707531163,-0.9261049466742832,-1.2379950270336701,0.5427537270429543,-1.228567208253869,0.03701867617218357,Medium
1990,-1.1349305729122912,0.8517452343877608,-0.43743742149346193,-1.2629632618997337,-0.4686812212068834,-1.2535576411381764,-0.21432555203682568,-1.5485522257752107,-1.0584584477672019,0.3667966897821739,-0.9655598432305652,0.6412546566135934,High
1991,-1.136089868440057,0.8834477450698917,-0.5037582585243674,0.5888028487846705,-0.8583811157620057,-1.4243859864755968,0.2939376459501274,-0.189207997326917,-1.0727998542104726,0.3813424694055766,-1.1124484802041625,0.2007395284942236,Medium
1992,-1.1626156542063115,1.0768278716039328,-0.5581029307762685,0.6344933859241937,-0.9986765655694011,-1.170738505072072,0.2972027200271315,-0.11066954757003035,-1.1028905668857052,0.35441622120308075,-1.1519982268487992,0.30691146162105704,Medium
1993,-1.1837451953135625,0.8937212264366038,-0.6859993320011154,0.1646544656604758,-1.297258532810212,-1.155057267847758,0.17095318904964307,-0.503884460949439,-1.1525912267453784,0.3723767926736999,-1.1712720258804994,0.27251268947719587,Medium
1994,-1.1832207520986207,0.8039060938821578,-0.6308072895997564,0.09336690489031042,-1.2249454855508781,-0.9700325458019534,0.15952542978013026,-0.4659057088320174,-1.1425034749828333,0.34514269592605035,-1.1635847970406212,0.14750960955284453,Medium
1995,-1.1675012567876093,0.8353491732166423,-0.391848907452626,0.039994259838189786,-0.540354844414888,-0.31232260045125265,0.23462213355122155,-0.275785306075412,-1.07744532440686,0.3516521181865081,-1.1096542669847644,0.7202678575826686,High
1996,-1.1714069786252002,0.8478537641730967,-0.26835883100495983,0.13870934651504518,-0.2573515722428099,0.1800266167889124,0.3864480781319062,-0.05590077350811361,-1.0543545696597405,0.427875116710421,-1.104548393467709,1.093852941737131,High
1997,-1.1753127004627915,0.726595552284164,-0.3179017390765993,0.5231208261319753,-0.34748129875052236,0.22154720243063214,0.4223638929789498,0.2090254212342473,-1.0710540584724957,0.36384038197813723,-1.1459306858866916,1.2432041277322634,High
1998,-1.1929643549867455,0.4687726789952849,-0.1535119300817649,1.0586057591675495,-0.11926504188545646,0.28593741545789736,0.4082152386452664,0.6869628778525825,-1.0574651295333082,0.17086118956338725,-1.1726511166975124,1.1336408902085955,High
1999,-1.178790587046088,0.7355199906431259,-0.1549072662612052,2.197682313201298,0.09566863354974073,0.6306470903711038,0.7945823377574037,1.6867832452200042,-1.0392954338773839,0.2009457563336212,-1.235519599980078,1.1764186892132324,High
2000,1.0970721476045195,0.6592471744357093,-0.28301833459058207,1.4663336366285704,-0.05293932892492441,0.45564170750755817,1.904503456808943,1.4067599067787895,0.9076706116083818,1.4067713159181043,0.759440607455536,-0.7973699578756502,Low
2001,1.0027137723267443,0.5347720138359882,-0.2763241104098644,1.3082562613864925,0.12051897736273572,0.8132433022273025,1.904503456808943,1.3824906932408387,0.8242941870158048,1.416603266013561,0.6787707074795243,-0.5179679381591522,Medium
2002,1.1852890168125843,0.5224230816881201,-0.3344875974686558,0.5005906440195672,-0.16245523007973595,0.6431504485473037,1.904503456808943,0.6292755076895715,0.9701837586514362,1.7316609195519275,0.9534471992789781,-0.3008088889257851,Medium
2003,0.7172096463400058,0.4747395999911025,-0.29298905668253655,-0.5534965895842879,-0.1269090657717931,0.5996593003517323,1.904503456808943,-0.22971219076160912,0.5714988902339573,2.1160716620099422,0.6754404646810793,-0.00762569229807051,Medium
2004,1.4696200461343214,0.6129646220159718,-0.3013045824158842,2.575215905577735,-0.1528929340394142,0.5055163682015229,1.904503456808943,2.2077318351887096,1.2261686973375356,1.0927799972511079,0.9477213030630165,-0.5393456837690878,Medium
2005,1.224263428365083,0.4129430529822373,-0.15422372100730966,1.732152575344802,-0.09162448403030057,0.1441956835914128,0.8451909859509658,1.290756118798652,1.0397280171498435,0.3932375383324146,0.9125480873316504,0.35344041263928544,Medium
2006,1.0447796386199515,0.39441965476043656,-0.15317298202198154,1.1409243467684562,0.03521399596959257,0.10875331202424852,0.45936806585166196,0.8880407357018869,0.8836955759727059,0.15008287163823802,0.819514340589636,0.11749181173343157,Medium
2007,1.0592846338542565,0.4766075056941419,-0.08912874612595333,0.6403629965011628,0.19335518975497562,0.861341681182583,-0.3329565768346373,0.8998400045670129,0.9117708950780852,-0.6603621898903786,0.8465975235167053,-0.6228786896073711,Low
2008,1.272240321736171,0.11802149698022674,0.01870757909406092,0.9890526743245224,0.38288629151466796,1.0292141826892298,0.47242836215967837,1.3574999250408115,1.1112505246279354,-0.00332762743448329,0.9740321575242189,-1.1919678535080551,Low
2009,0.6785402399204071,-0.0002791975455616274,0.028068194678405798,0.329465688619689,0.5019935534394051,1.096671257155939,-0.5892648918794502,0.8534199879733652,0.5950545514644912,-0.9064099242656181,0.5261162596000863,-1.011646595594053,Low
2010,1.1506578231480353,0.09596983243046352,0.8685802950600361,0.1740890544406332,0.46362811035969487,1.0749950690635721,-0.3378541879501435,0.7865374212192663,1.1854462443856608,-0.6280562638967643,1.15006187265365,-1.3796512513792247,Low
2011,0.7278806856503436,-0.275899061282837,0.9180568258033013,0.09733399342954968,0.27912520682181446,1.113698582885348,-0.5032846078516781,0.7642247308996423,0.8202984475942414,-0.7899439524891018,0.7742391937790652,-1.6960739987900826,Low
2012,0.8724669197822841,-0.42974185043589147,0.9675333565465665,-0.889624820641194,0.3844267221837768,1.021956406522577,-0.2959524039619252,-0.04537810135281786,0.9527695360310616,-0.29876615723071825,1.0551663405661778,-1.4627033174564468,Low
2013,0.8202171943231459,-1.0597449350552444,1.0170098872898305,-0.4276960708687251,0.14827579413631486,0.618102100591655,-0.829792015552076,0.20804947230028334,0.9033519538948587,-0.9473386487082217,0.9566814491335577,-1.9088218884457708,Low
2014,0.9816670380429054,-1.8681330143148003,1.0664864180330957,-1.0301173707395939,0.2412538641454011,0.44283305090752295,-2.051133787481376,-0.33263548781639823,1.0353485501475754,-2.0767530817844895,1.1983805331973287,-1.7696590239046117,Low
2015,0.6651476163472683,-1.4133498618943887,1.1353211198407258,0.06885017768487652,0.29990648848999,0.501977681925241,-0.7819042624226845,0.5162411946649058,0.7856494346882616,-0.9967598760566171,0.7791886521425662,-1.5573407921426357,Low
2016,0.7949693938648804,-1.3154923575629693,1.2275319395047362,-0.1230164690790088,0.7706388491861986,0.9262592278510212,-0.7258538241007828,0.5353623932099558,0.9201787527948888,-0.9449504311971737,0.9172890465077708,-1.266279333413758,Low
2017,0.5473231674283051,-1.5807868536640033,1.397746005993511,-1.1819350283622694,1.235354810853999,0.8578723809117175,-0.40533238554155954,-0.3245688767224034,0.7351495670336465,-0.3152069516555307,0.8697462526653034,-0.6441114456487979,Low
2018,0.5593301568230198,-1.303973605727563,1.5005376542570847,-0.2921728843262828,1.4342447555467703,0.6617597752002267,-1.2705770159476137,0.29696258299973544,0.7737691568968812,-1.436099038627879,0.8035518100276098,-0.5442549795192956,Low
2019,0.5378238446692449,-1.471773801383879,1.5686775125421604,-0.723709294669545,1.4546481957300723,0.6585680189510313,-1.3086695468459937,0.004571057594450981,0.76567523087764,-1.3865591504539234,0.8450738669881996,-0.7548144545011888,Low
2020,0.61791736450061,-1.7331768272702495,1.2716516786198437,-0.4095170826911835,1.8602174326499843,0.6556538067235037,-1.3380552135390291,0.13235098768772677,0.7661748855260523,-1.4567330260234828,0.8235554780409771,0.29560953862240147,Medium
2021,0.559867021061473,-1.6501069097545527,1.555752293195762,-0.7857783259445952,2.249074450046537,1.0444374722777872,-1.136708978790451,0.01679585869618591,0.7779533152476122,-1.208742303436305,0.8561357324818893,0.4193628532166165,Medium
2022,0.23880564510169677,-1.6533238584653416,1.5261169345020544,-1.2029227872453518,2.1730992468568666,0.9110914470667965,-1.9437264548232671,-0.46406481937364225,0.4928482160810376,-1.9234393362849855,0.6289807025517765,1.0572945405608214,High
2023,0.39929630978360264,-2.3281566799576257,1.469151063921164,-2.0290674751301547,1.9977517331448251,0.7002690082068349,-1.8653646769751717,-1.1924233718864228,0.6045192326822532,-1.616442157798626,0.881544511345412,1.1225202512514318,High
